date,value,log_return
1997-08-31,55.34392548,-0.05319311185110909
1997-09-30,58.00545502,0.046970152486284
1997-10-31,56.58409882,-0.0248090520305162
1997-11-30,58.77371979,0.037966806486891436
1997-12-31,59.89466858,0.018892683168814095
1998-01-31,60.66598129,0.012795605109331198
1998-02-28,64.86978912,0.06699891548308212
1998-03-31,68.03440094,0.0476314570198797
1998-04-30,68.90461731,0.012709717002908683
1998-05-31,67.47353363,-0.020987763814140692
1998-06-30,70.34614563,0.04169256695429624
1998-07-31,69.39554596,-0.013605307370850639
1998-08-31,59.5982399,-0.1521966444464269
1998-09-30,63.3910675,0.061696918593859174
1998-10-31,68.53089142,0.07796165289707702
1998-11-30,72.34679413,0.05418652827517878
1998-12-31,77.07987976,0.06337114208507177
1999-01-31,79.79508972,0.03461968662452275
1999-02-28,77.23617554,-0.03259402787968124
1999-03-31,80.43896484,0.04063075374755609
1999-04-30,83.49362946,0.037271638954447184
1999-05-31,81.58451843,-0.023130816206642812
1999-06-30,86.10244751,0.05389831854693217
1999-07-31,83.43144989,-0.03151250211046186
1999-08-31,82.99936676,-0.005192356913990892
1999-09-30,81.14535522,-0.022590923015977538
1999-10-31,86.3449707,0.06210850434626636
1999-11-30,87.78277588,0.016514747208675296
1999-12-31,92.79603577,0.055538613975158135
2000-01-31,88.17596436,-0.05106950793484444
2000-02-29,86.83332062,-0.015343986834628787
2000-03-31,95.24875641,0.09250153174403408
2000-04-30,91.90356445,-0.035752143068478404
2000-05-31,90.45863342,-0.01584715786314561
2000-06-30,92.23899078,0.019490277733742012
2000-07-31,90.79061127,-0.015827054509749416
2000-08-31,96.72299957,0.06329533859859549
2000-09-30,91.41652679,-0.056424938363765165
2000-10-31,90.98888397,-0.004688935506188763
2000-11-30,84.19630432,-0.07758631628104506
2000-12-31,83.75628662,-0.00523979659114282
2001-01-31,87.48000336,0.043499002209936855
2001-02-28,79.13550568,-0.10024858935963632
2001-03-31,74.70096588,-0.05766862268204953
2001-04-30,81.08343506,0.08198566481559677
2001-05-31,80.62889099,-0.005621652698727608
2001-06-30,78.7075882,-0.024117464203365024
2001-07-31,77.90504456,-0.010248862441318174
2001-08-31,73.28277588,-0.06116510754090232
2001-09-30,67.30067444,-0.0851553421097444
2001-10-31,68.17704773,0.012937706660340886
2001-11-30,73.49333954,0.0750868189517453
2001-12-31,73.90774536,0.005622847513178542
2002-01-31,73.18353271,-0.00984719844130666
2002-02-28,71.87094116,-0.018098405975570664
2002-03-31,74.26211548,0.03272890911402104
2002-04-30,69.94335938,-0.05991517302448113
2002-05-31,69.52832794,-0.005951497010177498
2002-06-30,64.3966217,-0.07667309212514795
2002-07-31,59.32090759,-0.08209935660825796
2002-08-31,59.72434998,0.00677799255150191
2002-09-30,53.46211243,-0.1107665854567017
2002-10-31,57.86119843,0.07907378776923757
2002-11-30,61.43013763,0.05985354369401463
2002-12-31,57.95505524,-0.0582327551160331
2003-01-31,56.52965546,-0.024902424641847887
2003-02-28,55.76769638,-0.013570592023278039
2003-03-31,55.88700485,0.0021370979294976777
2003-04-30,60.61571884,0.081222364481075
2003-05-31,63.9396553,0.05338550638659978
2003-06-30,64.62073517,0.010595584524350166
