Price,value
Ticker,XLU
date,
2019-06-28,49.03712463378906
2019-07-01,48.913780212402344
2019-07-02,49.57988357543945
2019-07-03,49.925270080566406
2019-07-05,49.90061569213867
2019-07-08,49.974609375
2019-07-09,50.0404052734375
2019-07-10,50.155540466308594
2019-07-11,50.17197799682617
2019-07-12,49.84303283691406
2019-07-15,50.0404052734375
2019-07-16,49.7525749206543
2019-07-17,49.941715240478516
2019-07-18,50.377567291259766
2019-07-19,49.645660400390625
2019-07-22,49.538761138916016
2019-07-23,49.22626876831055
2019-07-24,49.26738357543945
2019-07-25,49.14402770996094
2019-07-26,49.324947357177734
2019-07-29,49.57988357543945
2019-07-30,49.201595306396484
2019-07-31,48.971336364746094
2019-08-01,49.47298049926758
2019-08-02,49.46474838256836
2019-08-05,48.75751876831055
2019-08-06,49.36606216430664
2019-08-07,49.48942565917969
2019-08-08,49.999290466308594
2019-08-09,50.056854248046875
2019-08-12,49.95816421508789
2019-08-13,49.991050720214844
2019-08-14,49.57988357543945
2019-08-15,50.2213134765625
2019-08-16,50.476253509521484
2019-08-19,50.796966552734375
2019-08-20,50.71472930908203
2019-08-21,51.05189895629883
2019-08-22,51.10123825073242
2019-08-23,50.55847930908203
2019-08-26,51.14236068725586
2019-08-27,51.23281478881836
2019-08-28,51.09302520751953
2019-08-29,51.44662857055664
2019-08-30,51.463077545166016
2019-09-03,52.375892639160156
2019-09-04,52.42523193359375
2019-09-05,51.85780715942383
2019-09-06,51.65222930908203
2019-09-09,51.39728546142578
2019-09-10,51.463077545166016
2019-09-11,51.97293472290039
2019-09-12,52.088069915771484
2019-09-13,51.759124755859375
2019-09-16,51.80025100708008
2019-09-17,52.25253677368164
2019-09-18,52.474571228027344
2019-09-19,52.72127914428711
2019-09-20,52.93011474609375
2019-09-23,52.938411712646484
2019-09-24,53.55995178222656
2019-09-25,53.52679443359375
2019-09-26,53.808570861816406
2019-09-27,53.617958068847656
2019-09-30,53.651100158691406
2019-10-01,53.52679443359375
2019-10-02,52.81410598754883
2019-10-03,52.938411712646484
2019-10-04,53.67596435546875
2019-10-07,53.468780517578125
2019-10-08,52.97154998779297
2019-10-09,53.22846221923828
2019-10-10,53.17045211791992
2019-10-11,52.97154998779297
2019-10-14,52.63178634643555
2019-10-15,52.466033935546875
2019-10-16,52.582069396972656
2019-10-17,52.71465301513672
2019-10-18,52.8886833190918
2019-10-21,53.09586715698242
2019-10-22,53.31960678100586
2019-10-23,53.535091400146484
2019-10-24,53.717403411865234
2019-10-25,53.17045211791992
2019-10-28,52.44118118286133
2019-10-29,52.490901947021484
2019-10-30,52.954978942871094
2019-10-31,53.24503707885742
2019-11-01,53.11244583129883
2019-11-04,52.43288040161133
2019-11-05,51.89422607421875
2019-11-06,52.09312057495117
2019-11-07,51.388710021972656
2019-11-08,51.173255920410156
2019-11-11,50.85832977294922
2019-11-12,50.98264694213867
2019-11-13,51.73676681518555
2019-11-14,51.91909408569336
2019-11-15,52.0848388671875
2019-11-18,52.19256591796875
2019-11-19,52.05996322631836
2019-11-20,52.374881744384766
2019-11-21,52.19256591796875
2019-11-22,52.20914077758789
2019-11-25,52.03510665893555
2019-11-26,52.20914077758789
2019-11-27,52.30030059814453
2019-11-29,52.25057601928711
2019-12-02,51.910789489746094
2019-12-03,52.051692962646484
2019-12-04,52.449462890625
2019-12-05,52.540618896484375
2019-12-06,52.38316345214844
2019-12-09,52.20085525512695
2019-12-10,52.19256591796875
2019-12-11,52.33344268798828
2019-12-12,52.10968780517578
2019-12-13,52.51575469970703
2019-12-16,53.17045211791992
2019-12-17,53.34447479248047
2019-12-18,53.55995178222656
2019-12-19,53.57651901245117
2019-12-20,53.94483947753906
2019-12-23,53.443729400634766
2019-12-24,53.51889419555664
2019-12-26,53.61076736450195
2019-12-27,53.76945114135742
2019-12-30,53.76109313964844
2019-12-31,53.96989822387695
2020-01-02,53.29339599609375
2020-01-03,53.4019660949707
2020-01-06,53.45207977294922
2020-01-07,53.37690734863281
2020-01-08,53.35185241699219
2020-01-09,53.64417266845703
2020-01-10,53.786155700683594
2020-01-13,54.111881256103516
2020-01-14,54.27056884765625
2020-01-15,55.03059387207031
2020-01-16,55.373016357421875
2020-01-17,55.7572021484375
2020-01-21,56.266666412353516
2020-01-22,56.442047119140625
2020-01-23,56.94316482543945
2020-01-24,57.093502044677734
2020-01-27,56.951515197753906
2020-01-28,57.185367584228516
2020-01-29,57.33570861816406
2020-01-30,57.8702392578125
2020-01-31,57.61132049560547
2020-02-03,57.7950553894043
2020-02-04,57.218788146972656
2020-02-05,57.45262908935547
2020-02-06,57.469329833984375
2020-02-07,57.28559494018555
2020-02-10,57.50274658203125
2020-02-11,57.7115364074707
2020-02-12,57.7533073425293
2020-02-13,58.39639663696289
2020-02-14,58.788936614990234
2020-02-18,59.28170394897461
2020-02-19,58.63859558105469
2020-02-20,58.84739685058594
2020-02-21,58.73881912231445
2020-02-24,58.053985595703125
2020-02-25,56.834590911865234
2020-02-26,56.2583122253418
2020-02-27,53.72768783569336
2020-02-28,51.932029724121094
2020-03-02,54.98881912231445
2020-03-03,54.312313079833984
2020-03-04,57.394168853759766
2020-03-05,56.50886917114258
2020-03-06,56.049522399902344
2020-03-09,53.00107192993164
2020-03-10,53.49384307861328
2020-03-11,50.80452346801758
2020-03-12,45.67646789550781
2020-03-13,48.16532897949219
2020-03-16,42.694847106933594
2020-03-17,48.156978607177734
2020-03-18,46.060665130615234
2020-03-19,43.37970733642578
2020-03-20,39.938716888427734
2020-03-23,37.90070343017578
2020-03-24,41.97505569458008
2020-03-25,43.04636764526367
2020-03-26,46.71581268310547
2020-03-27,46.968868255615234
2020-03-30,48.70659637451172
2020-03-31,46.741111755371094
2020-04-01,43.93209457397461
2020-04-02,45.30707550048828
2020-04-03,43.687461853027344
2020-04-06,47.0616569519043
2020-04-07,46.47117233276367
2020-04-08,49.001834869384766
2020-04-09,51.31315231323242
2020-04-13,49.685096740722656
2020-04-14,51.14444351196289
2020-04-15,49.457340240478516
2020-04-16,49.46578598022461
2020-04-17,51.06009292602539
2020-04-20,49.12836456298828
2020-04-21,48.31855010986328
2020-04-22,49.72728729248047
2020-04-23,48.89216613769531
2020-04-24,49.19584655761719
2020-04-27,49.71041488647461
2020-04-28,49.8959846496582
2020-04-29,49.44047546386719
2020-04-30,48.30168914794922
2020-05-01,47.137577056884766
2020-05-04,47.49187088012695
2020-05-05,47.879905700683594
2020-05-06,46.25185775756836
2020-05-07,46.43743133544922
2020-05-08,47.373775482177734
2020-05-11,47.17131805419922
2020-05-12,46.75799560546875
2020-05-13,46.36150360107422
2020-05-14,46.85920715332031
2020-05-15,46.23497772216797
2020-05-18,48.13296127319336
2020-05-19,47.34004211425781
2020-05-20,47.60153579711914
2020-05-21,47.12071228027344
2020-05-22,47.64371109008789
2020-05-26,47.955833435058594
2020-05-27,48.52943420410156
2020-05-28,49.963478088378906
2020-05-29,50.35151290893555
2020-06-01,50.9504280090332
2020-06-02,51.27941131591797
2020-06-03,51.89520263671875
2020-06-04,50.9672966003418
2020-06-05,51.6168327331543
2020-06-08,53.00025939941406
2020-06-09,51.937381744384766
2020-06-10,51.633705139160156
2020-06-11,49.61762619018555
2020-06-12,49.49108123779297
2020-06-15,49.82851791381836
2020-06-16,50.05625915527344
2020-06-17,49.904422760009766
2020-06-18,49.8959846496582
2020-06-19,48.49570083618164
2020-06-22,48.9686279296875
2020-06-23,48.47528839111328
2020-06-24,48.0329704284668
2020-06-25,47.437564849853516
2020-06-26,46.93571853637695
2020-06-29,47.82033157348633
2020-06-30,47.99895095825195
2020-07-01,49.12173843383789
2020-07-02,49.24932098388672
2020-07-06,48.64540481567383
2020-07-07,48.449764251708984
2020-07-08,48.883567810058594
2020-07-09,48.22861099243164
2020-07-10,49.13875198364258
2020-07-13,49.18978500366211
2020-07-14,49.64910125732422
2020-07-15,49.453460693359375
2020-07-16,50.08290481567383
2020-07-17,51.21418762207031
2020-07-20,50.5422248840332
2020-07-21,50.77188491821289
2020-07-22,51.55443572998047
2020-07-23,51.61397171020508
2020-07-24,51.27373123168945
2020-07-27,50.65279769897461
2020-07-28,51.418338775634766
2020-07-29,51.6565055847168
2020-07-30,51.6565055847168
2020-07-31,51.741554260253906
2020-08-03,51.18016815185547
2020-08-04,51.741554260253906
2020-08-05,51.078094482421875
2020-08-06,51.37581253051758
2020-08-07,52.30295181274414
2020-08-10,52.28594970703125
2020-08-11,51.15464782714844
2020-08-12,51.89466857910156
2020-08-13,51.809608459472656
2020-08-14,51.358795166015625
2020-08-17,51.290748596191406
2020-08-18,51.06108093261719
2020-08-19,50.90797805786133
2020-08-20,50.4571647644043
2020-08-21,50.5422248840332
2020-08-24,50.98453140258789
2020-08-25,50.49969482421875
2020-08-26,49.93829345703125
2020-08-27,50.09991455078125
2020-08-28,50.24452209472656
2020-08-31,50.39762878417969
2020-09-01,49.819217681884766
2020-09-02,51.3672981262207
2020-09-03,50.78889465332031
2020-09-04,50.49969482421875
2020-09-08,50.218990325927734
2020-09-09,50.88246536254883
2020-09-10,50.00635528564453
2020-09-11,50.12542724609375
2020-09-14,50.81441879272461
2020-09-15,51.15464782714844
2020-09-16,51.08660888671875
2020-09-17,50.66981887817383
2020-09-18,49.776702880859375
2020-09-21,49.46698760986328
2020-09-22,49.77582550048828
2020-09-23,49.01230239868164
2020-09-24,49.56134796142578
2020-09-25,50.37636947631836
2020-09-28,50.50505828857422
2020-09-29,50.48789596557617
2020-09-30,50.94258117675781
2020-10-01,51.457332611083984
2020-10-02,52.06644821166992
2020-10-05,52.71845626831055
2020-10-06,53.16456604003906
2020-10-07,53.490570068359375
2020-10-08,54.46859359741211
2020-10-09,54.46000289916992
2020-10-12,54.80317306518555
2020-10-13,54.42569351196289
2020-10-14,54.35707092285156
2020-10-15,54.32275390625
2020-10-16,54.90612030029297
2020-10-19,54.4428596496582
2020-10-20,54.768856048583984
2020-10-21,54.62300491333008
2020-10-22,55.39512634277344
2020-10-23,55.549560546875
2020-10-26,55.53240203857422
2020-10-27,55.489501953125
2020-10-28,53.87663269042969
2020-10-29,54.02248001098633
2020-10-30,53.51631546020508
2020-11-02,54.691650390625
2020-11-03,55.48093032836914
2020-11-04,54.64874267578125
2020-11-05,55.13774871826172
2020-11-06,55.01765060424805
