date,value,norm
1930-05-01,15.3,-2.8349427452785663
1930-06-01,15.0,-3.0349561618107206
1930-07-01,14.5,-3.341010628971188
1930-08-01,14.5,-2.8451890736038576
1930-09-01,14.5,-2.503166326469379
1930-10-01,14.3,-2.470391960061623
1930-11-01,14.0,-2.524234768657743
1930-12-01,13.7,-2.537319120309707
1931-01-01,13.5,-2.4421098577161775
1931-02-01,13.2,-2.4320685486144593
1931-03-01,13.1,-2.2649204675320957
1931-04-01,12.9,-2.201103120183402
1931-05-01,12.6,-2.209512292190845
1931-06-01,12.4,-2.1428787604746686
1931-07-01,12.4,-1.9676965463473093
1931-08-01,12.4,-1.8217609621965118
1931-09-01,12.3,-1.7594150736179208
1931-10-01,12.1,-1.756117147819613
1931-11-01,12.1,-1.6381309752362596
1931-12-01,11.8,-1.6981627714802485
1932-01-01,11.6,-1.695182522032753
1932-02-01,11.4,-1.6899218045730424
1932-03-01,11.4,-1.586601049338177
1932-04-01,11.3,-1.545178837465612
1932-05-01,11.1,-1.5564295183614782
1932-06-01,11.0,-1.51926684674669
1932-07-01,11.1,-1.3908530054768709
1932-08-01,11.2,-1.2739582638882323
1932-09-01,11.3,-1.165790475490162
1932-10-01,11.1,-1.2279213848170674
1932-11-01,11.0,-1.2316853118069553
1932-12-01,10.8,-1.299928821510516
1933-01-01,10.5,-1.4279299943879704
1933-02-01,10.3,-1.4926503749536568
1933-03-01,10.4,-1.3719127755188305
1933-04-01,10.4,-1.327621595332563
1933-05-01,10.8,-1.0116520539367302
1933-06-01,11.2,-0.6772175808473441
1933-07-01,11.9,-0.0738921649508324
1933-08-01,12.0,0.07156263055116405
1933-09-01,12.2,0.3314039399714065
1933-10-01,12.3,0.5222329678670958
1933-11-01,12.3,0.616870238329816
1933-12-01,12.2,0.5905109398045215
1934-01-01,12.4,0.9220702598918347
1934-02-01,12.7,1.3646989048047213
1934-03-01,12.7,1.4137336527741764
1934-04-01,12.7,1.4381462794893223
1934-05-01,12.7,1.4269353798659798
