date,macro_score,liquidity_score,theta_macro_deg,coherence_macro
1931-02-01,-2.4320685486144598,,,
1931-03-01,-2.264920467532096,,,
1931-04-01,-2.201103120183402,,,
1931-05-01,-2.209512292190845,,,
1931-06-01,-2.1428787604746686,,,
1931-07-01,-1.9676965463473093,,,
1931-08-01,-1.821760962196512,,,
1931-09-01,-1.7594150736179208,,,
1931-10-01,-1.756117147819613,,,
1931-11-01,-1.6381309752362596,,,
1931-12-01,-1.6981627714802483,,,
1932-01-01,-1.695182522032753,,,
1932-02-01,-1.6899218045730424,,,
1932-03-01,-1.586601049338177,,,
1932-04-01,-1.545178837465612,,,
1932-05-01,-1.5564295183614782,,,
1932-06-01,-1.51926684674669,,,
1932-07-01,-1.3908530054768709,,,
1932-08-01,-1.2739582638882323,,,
1932-09-01,-1.165790475490162,,,
1932-10-01,-1.2279213848170674,,,
1932-11-01,-1.2316853118069553,,,
1932-12-01,-1.299928821510516,,,
1933-01-01,-1.4279299943879704,,,
1933-02-01,-1.4926503749536568,,,
1933-03-01,-1.3719127755188305,,,
1933-04-01,-1.327621595332563,,,
1933-05-01,-1.0116520539367302,,,
1933-06-01,-0.6772175808473441,,,
1933-07-01,-0.0738921649508324,,,
1933-08-01,0.071562630551164,,,
1933-09-01,0.3314039399714065,,,
1933-10-01,0.5222329678670958,,,
1933-11-01,0.616870238329816,,,
1933-12-01,0.5905109398045215,,,
1934-01-01,0.9220702598918348,,,
1934-02-01,1.3646989048047211,,,
1934-03-01,1.4137336527741764,,,
1934-04-01,1.4381462794893225,,,
1934-05-01,1.4269353798659798,,,
1934-06-01,1.6391912604158734,,,
1934-07-01,1.5832495001573428,,,
1934-08-01,1.867894340506657,,,
1934-09-01,1.9756519492340088,,,
1934-10-01,1.6400636871683485,,,
1934-11-01,1.5522056620450202,,,
1934-12-01,1.5594514514855529,,,
1935-01-01,1.7408550163848877,,,
1935-02-01,1.708086452747228,,,
1935-03-01,1.5916038326271742,,,
1935-04-01,1.5726981812400354,,,
1935-05-01,1.4738501123907262,,,
1935-06-01,1.3866315361696278,,,
1935-07-01,1.2248543256768347,,,
1935-08-01,1.3200462195554734,,,
1935-09-01,1.2450052716705748,,,
1935-10-01,1.177707689418113,,,
1935-11-01,1.116740104638612,,,
1935-12-01,1.1470786693528134,,,
1936-01-01,1.0174095396079603,,,
1936-02-01,0.9910511885533596,,,
1936-03-01,0.766298732483608,,,
1936-04-01,0.7521228214706798,,,
1936-05-01,0.4698846139913478,,,
1936-06-01,0.7273477625106601,,,
1936-07-01,1.000143353028065,,,
1936-08-01,1.1259320286637586,,,
1936-09-01,1.0835345619539425,,,
1936-10-01,1.0416800516815723,,,
1936-11-01,1.369721164527193,,,
1936-12-01,1.907105159160052,,,
1937-01-01,2.371121393454425,,,
1937-02-01,2.364701951629921,,,
1937-03-01,2.510496695863738,,,
1937-04-01,2.4711081754835984,,,
1937-05-01,2.151196031222379,,,
1937-06-01,1.85881864046278,,,
1937-07-01,2.068557141139816,,,
1937-08-01,1.77117961836549,,,
1937-09-01,1.65357541200107,,,
1937-10-01,0.936759377076066,,,
1937-11-01,0.3828500416349593,,,
1937-12-01,-0.193264760005309,,,
1938-01-01,-0.4029192227929472,,,
1938-02-01,-0.7835412126377373,,,
1938-03-01,-0.9703457401540184,,,
1938-04-01,-1.3070754753369975,,,
1938-05-01,-1.2719672022729462,,,
1938-06-01,-1.238473903915773,,,
1938-07-01,-1.050153388594095,,,
1938-08-01,-1.349276162929316,,,
1938-09-01,-1.1386818846191755,,,
1938-10-01,-1.26000181517532,,,
1938-11-01,-1.213562247180978,,,
1938-12-01,-1.313265986719327,,,
1939-01-01,-1.2592981121411475,,,
1939-02-01,-1.2088829962590668,,,
1939-03-01,-1.3144174672433842,,,
1939-04-01,-1.4051237184587015,,,
1939-05-01,-1.3644169449210954,,,
1939-06-01,-1.4412852975993395,,,
1939-07-01,-1.368593770038506,,,
1939-08-01,-1.4207996360545163,,,
1939-09-01,-0.4745373815249,,,
1939-10-01,-0.3305697320409511,,,
1939-11-01,-0.4402254531628186,,,
1939-12-01,-0.2807507091686391,,,
1940-01-01,-0.2448475791159433,,,
1940-02-01,-0.3403599592592028,,,
1940-03-01,-0.4360514248003674,,,
1940-04-01,-0.3904356984290958,,,
1940-05-01,-0.343174859743961,,,
1940-06-01,-0.4644213730224076,,,
1940-07-01,-0.4221158824088859,,,
1940-08-01,-0.3779644730092551,,,
1940-09-01,-0.3342787905091683,,,
1940-10-01,0.3741096264415851,,,
1940-11-01,0.8973628484753605,,,
1940-12-01,1.4079839321990486,,,
1941-01-01,1.879716290650013,,,
1941-02-01,1.8322612478191496,,,
1941-03-01,2.100677570737883,,,
1941-04-01,3.0667500309309905,,,
1941-05-01,3.100567399295776,,,
1941-06-01,3.388874746828378,,,
1941-07-01,3.306196338288599,,,
1941-08-01,3.187799298684338,,,
1941-09-01,2.9591123370913297,,,
1941-10-01,2.6849911082538136,,,
1941-11-01,2.3849503817005373,,,
1941-12-01,2.427169209270508,,,
1942-01-01,2.437599441483621,,,
1942-02-01,2.351610298686903,,,
1942-03-01,2.2057808141453434,,,
1942-04-01,2.157531886418675,,,
1942-05-01,1.9795598152665976,,,
1942-06-01,1.8338899555853228,,,
1942-07-01,1.7099637408635864,,,
1942-08-01,1.6702477355780994,,,
1942-09-01,1.6236964436064285,,,
1942-10-01,1.518578101333622,,,
1942-11-01,1.4876530251577005,,,
1942-12-01,1.4585857970899536,,,
1943-01-01,1.4320150198764934,,,
1943-02-01,1.4678816527437708,,,
1943-03-01,1.4432170415737076,,,
1943-04-01,1.4219701924081436,,,
1943-05-01,1.3458193215532817,,,
1943-06-01,1.2790628281906664,,,
1943-07-01,1.1581224778891523,,,
1943-08-01,1.1070004441945254,,,
1943-09-01,1.061462776764981,,,
1943-10-01,1.0173526142535687,,,
1943-11-01,0.9049451092764896,,,
1943-12-01,0.9430967339289964,,,
1944-01-01,0.9094260678390028,,,
1944-02-01,0.8835839463315204,,,
1944-03-01,0.9605035772197608,,,
1944-04-01,0.9434687874893364,,,
1944-05-01,0.9324240293396572,,,
1944-06-01,1.0409706760563666,,,
1944-07-01,0.8893100292552629,,,
1944-08-01,0.8647679595310628,,,
1944-09-01,0.8391373428298399,,,
1944-10-01,0.8179175835894499,,,
1944-11-01,1.0133259689423406,,,
1944-12-01,1.0135482785161782,,,
1945-01-01,1.2366024419515462,,,
1945-02-01,1.2110056372557056,,,
1945-03-01,1.1846446220592095,,,
1945-04-01,1.418825140576316,,,
1945-05-01,1.6568914112871929,,,
1945-06-01,1.6170273318199584,,,
1945-07-01,1.600691740661553,,,
1945-08-01,1.245416774775518,,,
1945-09-01,0.8530841382592158,,,
