date,value
1978-09-08,-0.18817
1978-09-15,-0.10125
1978-09-22,0.0473
1978-09-29,0.25503
1978-10-06,0.50878
1978-10-13,0.79305
1978-10-20,1.0862
1978-10-27,1.36531
1978-11-03,1.60188
1978-11-10,1.77872
1978-11-17,1.88177
1978-11-24,1.90324
1978-12-01,1.85637
1978-12-08,1.75467
1978-12-15,1.61499
1978-12-22,1.45342
1978-12-29,1.27923
1979-01-05,1.09735
1979-01-12,0.91294
1979-01-19,0.73095
1979-01-26,0.55926
1979-02-02,0.40486
1979-02-09,0.27194
1979-02-16,0.15757
1979-02-23,0.05618
1979-03-02,-0.03734
1979-03-09,-0.12851
1979-03-16,-0.21459
1979-03-23,-0.29045
1979-03-30,-0.34938
1979-04-06,-0.38897
1979-04-13,-0.4112
1979-04-20,-0.42124
1979-04-27,-0.42418
1979-05-04,-0.4212
1979-05-11,-0.40833
1979-05-18,-0.37924
1979-05-25,-0.32989
1979-06-01,-0.26256
1979-06-08,-0.18675
1979-06-15,-0.11324
1979-06-22,-0.05127
1979-06-29,-0.00148
1979-07-06,0.04002
1979-07-13,0.08302
1979-07-20,0.1356
1979-07-27,0.19935
1979-08-03,0.27339
1979-08-10,0.3559
1979-08-17,0.44999
1979-08-24,0.56074
1979-08-31,0.69438
1979-09-07,0.85203
1979-09-14,1.02877
1979-09-21,1.21168
1979-09-28,1.38586
1979-10-05,1.54177
1979-10-12,1.67477
1979-10-19,1.7834
1979-10-26,1.86515
1979-11-02,1.91596
1979-11-09,1.92194
1979-11-16,1.87898
1979-11-23,1.78668
1979-11-30,1.65951
1979-12-07,1.51639
1979-12-14,1.37609
1979-12-21,1.25249
1979-12-28,1.14091
1980-01-04,1.0353
1980-01-11,0.93516
1980-01-18,0.84574
1980-01-25,0.7893
1980-02-01,0.79593
1980-02-08,0.88638
1980-02-15,1.07134
1980-02-22,1.34548
1980-02-29,1.68844
1980-03-07,2.06879
1980-03-14,2.46642
1980-03-21,2.84959
1980-03-28,3.18415
1980-04-04,3.44828
1980-04-11,3.60139
1980-04-18,3.62335
1980-04-25,3.51466
1980-05-02,3.29546
1980-05-09,3.00599
1980-05-16,2.69939
1980-05-23,2.40801
1980-05-30,2.14057
1980-06-06,1.89664
1980-06-13,1.65634
1980-06-20,1.40496
1980-06-27,1.15458
1980-07-04,0.93015
1980-07-11,0.74845
1980-07-18,0.6346
1980-07-25,0.58037
1980-08-01,0.57274
1980-08-08,0.59835
1980-08-15,0.64045
1980-08-22,0.68844
1980-08-29,0.75035
1980-09-05,0.81995
1980-09-12,0.87632
1980-09-19,0.91851
1980-09-26,0.93729
1980-10-03,0.9387
1980-10-10,0.93949
1980-10-17,0.9771
1980-10-24,1.06217
1980-10-31,1.21278
1980-11-07,1.42077
1980-11-14,1.66274
1980-11-21,1.92774
1980-11-28,2.20037
1980-12-05,2.44606
1980-12-12,2.64741
1980-12-19,2.7953
1980-12-26,2.83705
1981-01-02,2.77816
1981-01-09,2.61549
1981-01-16,2.37822
1981-01-23,2.10187
1981-01-30,1.83278
1981-02-06,1.59066
1981-02-13,1.39673
1981-02-20,1.24815
1981-02-27,1.11976
1981-03-06,1.0193
1981-03-13,0.94849
1981-03-20,0.91505
1981-03-27,0.92776
1981-04-03,0.98771
1981-04-10,1.07132
1981-04-17,1.17138
1981-04-24,1.26162
1981-05-01,1.34977
1981-05-08,1.45732
1981-05-15,1.60059
1981-05-22,1.78745
1981-05-29,2.02667
1981-06-05,2.28798
1981-06-12,2.55647
1981-06-19,2.80858
1981-06-26,3.03478
1981-07-03,3.23173
1981-07-10,3.39422
1981-07-17,3.51364
1981-07-24,3.5696
1981-07-31,3.56499
1981-08-07,3.49652
1981-08-14,3.38969
1981-08-21,3.27608
1981-08-28,3.18262
1981-09-04,3.11323
1981-09-11,3.06771
1981-09-18,3.02046
1981-09-25,2.96228
1981-10-02,2.90372
1981-10-09,2.84597
1981-10-16,2.8099
1981-10-23,2.79287
1981-10-30,2.77727
1981-11-06,2.73715
1981-11-13,2.6634
1981-11-20,2.55688
1981-11-27,2.44411
1981-12-04,2.35533
1981-12-11,2.30056
1981-12-18,2.27233
1981-12-25,2.25447
1982-01-01,2.21806
1982-01-08,2.15723
1982-01-15,2.09122
1982-01-22,2.04009
1982-01-29,2.03337
1982-02-05,2.06761
1982-02-12,2.13324
1982-02-19,2.2028
1982-02-26,2.25309
1982-03-05,2.26916
1982-03-12,2.2599
1982-03-19,2.24677
1982-03-26,2.24061
1982-04-02,2.2442
1982-04-09,2.2626
1982-04-16,2.28889
1982-04-23,2.32281
1982-04-30,2.37799
1982-05-07,2.47043
1982-05-14,2.61113
1982-05-21,2.80215
1982-05-28,3.01991
1982-06-04,3.23415
1982-06-11,3.41903
1982-06-18,3.54348
1982-06-25,3.59462
1982-07-02,3.57925
1982-07-09,3.51536
1982-07-16,3.42267
1982-07-23,3.33536
1982-07-30,3.2787
1982-08-06,3.27923
1982-08-13,3.35463
1982-08-20,3.50402
1982-08-27,3.71616
1982-09-03,3.95451
1982-09-10,4.16412
1982-09-17,4.28754
1982-09-24,4.273
1982-10-01,4.098
1982-10-08,3.77237
1982-10-15,3.33708
1982-10-22,2.85351
1982-10-29,2.37972
1982-11-05,1.96379
1982-11-12,1.63174
1982-11-19,1.39254
1982-11-26,1.24077
1982-12-03,1.1566
1982-12-10,1.11498
1982-12-17,1.09134
1982-12-24,1.05641
1982-12-31,0.99481
1983-01-07,0.90192
1983-01-14,0.78742
1983-01-21,0.66561
1983-01-28,0.55436
1983-02-04,0.46415
1983-02-11,0.39571
1983-02-18,0.34906
1983-02-25,0.31957
1983-03-04,0.30206
1983-03-11,0.3003
1983-03-18,0.31238
1983-03-25,0.3281
1983-04-01,0.3386
1983-04-08,0.32949
1983-04-15,0.29125
1983-04-22,0.22493
1983-04-29,0.14041
1983-05-06,0.0526
1983-05-13,-0.02346
1983-05-20,-0.07993
1983-05-27,-0.12016
1983-06-03,-0.14475
1983-06-10,-0.1577
1983-06-17,-0.16133
1983-06-24,-0.15231
1983-07-01,-0.12807
1983-07-08,-0.09558
1983-07-15,-0.06161
1983-07-22,-0.03735
1983-07-29,-0.02983
1983-08-05,-0.03978
1983-08-12,-0.06284
1983-08-19,-0.09438
1983-08-26,-0.12852
1983-09-02,-0.1656
1983-09-09,-0.20823
1983-09-16,-0.25497
1983-09-23,-0.29843
1983-09-30,-0.33128
1983-10-07,-0.34412
1983-10-14,-0.33206
1983-10-21,-0.29801
1983-10-28,-0.25428
1983-11-04,-0.20488
1983-11-11,-0.15761
1983-11-18,-0.10853
1983-11-25,-0.05401
1983-12-02,0.00507
1983-12-09,0.06435
1983-12-16,0.11226
1983-12-23,0.13545
1983-12-30,0.12652
1984-01-06,0.09093
1984-01-13,0.0354
1984-01-20,-0.02963
1984-01-27,-0.09324
1984-02-03,-0.15159
1984-02-10,-0.20321
1984-02-17,-0.24415
1984-02-24,-0.27199
1984-03-02,-0.28072
1984-03-09,-0.26699
1984-03-16,-0.23276
1984-03-23,-0.183
1984-03-30,-0.12143
1984-04-06,-0.05012
1984-04-13,0.0333
1984-04-20,0.13583
1984-04-27,0.26141
1984-05-04,0.40525
1984-05-11,0.55876
1984-05-18,0.70881
1984-05-25,0.84601
1984-06-01,0.96922
1984-06-08,1.07717
1984-06-15,1.17205
1984-06-22,1.24744
1984-06-29,1.29004
1984-07-06,1.28485
1984-07-13,1.2257
1984-07-20,1.12125
1984-07-27,0.9882
1984-08-03,0.85185
1984-08-10,0.73251
1984-08-17,0.64121
1984-08-24,0.57477
1984-08-31,0.52463
1984-09-07,0.48257
1984-09-14,0.44029
1984-09-21,0.39315
1984-09-28,0.34216
1984-10-05,0.28965
1984-10-12,0.23414
1984-10-19,0.17529
1984-10-26,0.11438
1984-11-02,0.05318
1984-11-09,-0.00635
1984-11-16,-0.06092
1984-11-23,-0.10692
1984-11-30,-0.14565
1984-12-07,-0.17809
1984-12-14,-0.21157
1984-12-21,-0.25014
1984-12-28,-0.29363
1985-01-04,-0.34187
1985-01-11,-0.38776
1985-01-18,-0.42209
1985-01-25,-0.44054
1985-02-01,-0.44105
1985-02-08,-0.42529
1985-02-15,-0.39907
1985-02-22,-0.36763
1985-03-01,-0.33434
1985-03-08,-0.30315
1985-03-15,-0.27754
1985-03-22,-0.26004
1985-03-29,-0.25578
1985-04-05,-0.27037
1985-04-12,-0.30359
1985-04-19,-0.35372
1985-04-26,-0.41421
1985-05-03,-0.47531
1985-05-10,-0.53081
1985-05-17,-0.57057
1985-05-24,-0.59184
1985-05-31,-0.59249
1985-06-07,-0.57124
1985-06-14,-0.53027
1985-06-21,-0.47467
1985-06-28,-0.40976
1985-07-05,-0.34261
1985-07-12,-0.279
1985-07-19,-0.21979
1985-07-26,-0.16422
1985-08-02,-0.11064
1985-08-09,-0.0564
1985-08-16,-0.00274
1985-08-23,0.0467
1985-08-30,0.08763
1985-09-06,0.11551
1985-09-13,0.12741
1985-09-20,0.12117
1985-09-27,0.09833
1985-10-04,0.05895
1985-10-11,0.00698
1985-10-18,-0.05243
1985-10-25,-0.11143
1985-11-01,-0.15965
1985-11-08,-0.18824
1985-11-15,-0.19209
1985-11-22,-0.17042
1985-11-29,-0.13099
1985-12-06,-0.08448
1985-12-13,-0.0416
1985-12-20,-0.01125
1985-12-27,0.0058
1986-01-03,0.00691
1986-01-10,-0.00511
1986-01-17,-0.02844
1986-01-24,-0.0619
1986-01-31,-0.10418
1986-02-07,-0.14842
1986-02-14,-0.18539
1986-02-21,-0.20768
1986-02-28,-0.21041
1986-03-07,-0.19483
1986-03-14,-0.16987
1986-03-21,-0.14604
1986-03-28,-0.13334
1986-04-04,-0.13781
1986-04-11,-0.15446
1986-04-18,-0.17511
1986-04-25,-0.19173
1986-05-02,-0.19445
1986-05-09,-0.17849
1986-05-16,-0.14455
1986-05-23,-0.0934
1986-05-30,-0.02868
1986-06-06,0.04393
1986-06-13,0.11823
1986-06-20,0.18412
1986-06-27,0.23024
1986-07-04,0.24868
1986-07-11,0.23526
1986-07-18,0.18784
1986-07-25,0.11246
1986-08-01,0.02043
1986-08-08,-0.07471
1986-08-15,-0.15858
1986-08-22,-0.217
1986-08-29,-0.24216
1986-09-05,-0.23376
1986-09-12,-0.19711
1986-09-19,-0.14883
1986-09-26,-0.10075
1986-10-03,-0.06332
1986-10-10,-0.04435
1986-10-17,-0.04365
1986-10-24,-0.05608
1986-10-31,-0.07872
1986-11-07,-0.10783
1986-11-14,-0.13881
1986-11-21,-0.16538
1986-11-28,-0.18218
1986-12-05,-0.18465
1986-12-12,-0.17343
1986-12-19,-0.15156
1986-12-26,-0.12657
1987-01-02,-0.1108
1987-01-09,-0.10578
1987-01-16,-0.11054
1987-01-23,-0.12011
1987-01-30,-0.12968
1987-02-06,-0.13579
1987-02-13,-0.13965
1987-02-20,-0.14139
1987-02-27,-0.14294
1987-03-06,-0.13769
1987-03-13,-0.11224
1987-03-20,-0.05576
1987-03-27,0.03651
1987-04-03,0.16469
1987-04-10,0.32111
1987-04-17,0.49651
1987-04-24,0.67813
1987-05-01,0.85213
1987-05-08,1.01107
1987-05-15,1.13503
1987-05-22,1.21514
1987-05-29,1.2346
1987-06-05,1.19998
1987-06-12,1.12429
1987-06-19,1.0219
1987-06-26,0.91301
1987-07-03,0.80725
1987-07-10,0.70355
1987-07-17,0.5941
1987-07-24,0.47829
1987-07-31,0.36703
1987-08-07,0.27982
1987-08-14,0.23138
1987-08-21,0.23949
1987-08-28,0.30151
1987-09-04,0.41234
1987-09-11,0.55629
1987-09-18,0.7305
1987-09-25,0.93137
1987-10-02,1.15539
1987-10-09,1.37878
1987-10-16,1.57368
1987-10-23,1.71385
1987-10-30,1.77664
1987-11-06,1.76339
1987-11-13,1.70656
1987-11-20,1.63781
1987-11-27,1.57623
1987-12-04,1.53011
1987-12-11,1.47799
1987-12-18,1.4105
1987-12-25,1.31254
1988-01-01,1.18856
1988-01-08,1.05309
1988-01-15,0.92451
1988-01-22,0.80572
1988-01-29,0.69744
1988-02-05,0.59533
1988-02-12,0.49808
1988-02-19,0.41214
1988-02-26,0.34591
1988-03-04,0.30921
1988-03-11,0.30551
1988-03-18,0.33102
1988-03-25,0.37143
1988-04-01,0.42017
1988-04-08,0.46946
1988-04-15,0.51383
1988-04-22,0.55398
1988-04-29,0.58537
1988-05-06,0.60574
1988-05-13,0.61316
1988-05-20,0.60784
1988-05-27,0.59514
1988-06-03,0.58627
1988-06-10,0.58752
1988-06-17,0.60319
1988-06-24,0.63212
1988-07-01,0.66862
1988-07-08,0.70353
1988-07-15,0.73436
1988-07-22,0.75897
1988-07-29,0.77452
1988-08-05,0.77997
1988-08-12,0.76934
1988-08-19,0.73727
1988-08-26,0.68182
1988-09-02,0.61057
1988-09-09,0.5334
